type	column	total	realized	potential
HIGH	219	208	5	17
HIGH	220	208	7	13
HIGH	221	208	10	11
HIGH	222	208	9	13
HIGH	223	208	4	18
HIGH	224	208	11	17
HIGH	225	208	10	19
HIGH	226	208	13	16
MODERATE	5	13429	870	1556
MODERATE	6	13429	1040	1316
MODERATE	7	13429	855	1510
MODERATE	8	13429	1017	1216
MODERATE	9	13429	1098	1117
MODERATE	10	13429	1070	1310
MODERATE	11	13429	905	1420
MODERATE	12	13429	851	1697
MODERATE	13	13429	814	1796
MODERATE	14	13429	1035	1426
MODERATE	15	13429	998	1226
MODERATE	16	13429	816	1664
MODERATE	17	13429	1009	1300
MODERATE	18	13429	955	1407
MODERATE	19	13429	807	1632
MODERATE	20	13429	975	1385
MODERATE	21	13429	980	1408
MODERATE	22	13429	846	1622
MODERATE	23	13429	1205	953
MODERATE	24	13429	843	1600
MODERATE	25	13429	791	1746
MODERATE	26	13429	915	1546
MODERATE	27	13429	894	1550
MODERATE	28	13429	862	1509
MODERATE	29	13429	940	1408
MODERATE	30	13429	994	1282
MODERATE	31	13429	1080	1256
MODERATE	32	13429	1028	1131
MODERATE	33	13429	888	1561
MODERATE	34	13429	946	1537
MODERATE	35	13429	991	1419
MODERATE	36	13428	1068	1145
MODERATE	37	13429	934	1384
MODERATE	38	13429	821	1757
MODERATE	39	13429	924	1467
MODERATE	40	13429	935	1381
MODERATE	41	13429	1056	924
MODERATE	42	13429	1044	1171
MODERATE	43	13429	786	1633
MODERATE	44	13429	945	1408
MODERATE	45	13429	905	1614
MODERATE	46	13429	989	1334
MODERATE	47	13429	860	1592
MODERATE	48	13429	1152	1153
MODERATE	49	13429	1047	1329
MODERATE	50	13429	870	1601
MODERATE	51	13429	917	1557
MODERATE	52	13429	862	1579
MODERATE	53	13429	872	1600
MODERATE	54	13429	980	1428
MODERATE	55	13429	939	1576
MODERATE	56	13429	882	1477
MODERATE	57	13429	902	1597
MODERATE	58	13429	1148	1062
MODERATE	59	13429	824	1731
MODERATE	60	13429	1125	1220
MODERATE	61	13429	948	1452
MODERATE	62	13429	1093	1153
MODERATE	63	13429	981	1414
MODERATE	64	13429	851	1641
MODERATE	65	13429	861	1462
MODERATE	66	13429	899	1345
MODERATE	67	13429	977	1384
MODERATE	68	13429	1060	897
MODERATE	69	13429	861	1669
MODERATE	70	13429	858	1587
MODERATE	71	13429	980	1325
MODERATE	72	13429	762	1783
MODERATE	73	13429	932	1426
MODERATE	74	13429	948	1574
MODERATE	75	13429	855	1651
MODERATE	76	13429	940	1496
MODERATE	77	13429	1059	1375
MODERATE	78	13429	881	1394
MODERATE	79	13429	965	1517
MODERATE	80	13429	1031	1359
MODERATE	81	13429	1111	1201
MODERATE	82	13429	948	1484
MODERATE	83	13428	1064	1166
MODERATE	84	13429	831	1608
MODERATE	85	13429	1057	1302
MODERATE	86	13429	973	1411
MODERATE	87	13429	845	1702
MODERATE	88	13429	922	1542
MODERATE	89	13429	1020	1357
MODERATE	90	13429	896	1644
MODERATE	91	13429	799	1761
MODERATE	92	13429	1129	1181
MODERATE	93	13429	877	1592
MODERATE	94	13429	970	1426
MODERATE	95	13429	995	1343
MODERATE	96	13429	1026	1331
MODERATE	97	13429	986	1286
MODERATE	98	13429	994	1291
MODERATE	99	13429	1005	1418
MODERATE	100	13429	1148	1078
MODERATE	101	13429	808	1719
MODERATE	102	13429	1104	1040
MODERATE	103	13428	1055	1182
MODERATE	104	13429	1035	1272
MODERATE	105	13429	849	1548
MODERATE	106	13429	1200	902
MODERATE	107	13429	970	1437
MODERATE	108	13429	812	1615
MODERATE	109	13429	896	1503
MODERATE	110	13429	865	1630
MODERATE	111	13429	818	1670
MODERATE	112	13429	1066	1253
MODERATE	113	13429	1091	1194
MODERATE	114	13429	898	1549
MODERATE	115	13429	909	1499
MODERATE	116	13429	980	1454
MODERATE	117	13429	826	1750
MODERATE	118	13429	806	1745
MODERATE	119	13429	838	1692
MODERATE	120	13429	1110	1225
MODERATE	121	13429	1055	1274
MODERATE	122	13429	834	1649
MODERATE	123	13429	1004	1308
MODERATE	124	13429	931	1389
MODERATE	125	13429	865	1530
MODERATE	126	13429	1176	990
MODERATE	127	13429	891	1541
MODERATE	128	13429	874	1535
MODERATE	129	13429	884	1550
MODERATE	130	13429	864	1656
MODERATE	131	13429	1123	983
MODERATE	132	13429	1089	1208
MODERATE	133	13429	857	1514
MODERATE	134	13429	938	1478
MODERATE	135	13429	789	1601
MODERATE	136	13429	849	1692
MODERATE	137	13429	824	1599
MODERATE	138	13429	882	1508
MODERATE	139	13429	835	1520
MODERATE	140	13429	835	1560
MODERATE	141	13429	1069	1206
MODERATE	142	13429	863	1540
MODERATE	143	13429	1023	1252
MODERATE	144	13429	824	1781
MODERATE	145	13429	1060	1182
MODERATE	146	13429	898	1548
MODERATE	147	13429	1013	1408
MODERATE	148	13429	957	1496
MODERATE	149	13429	846	1630
MODERATE	150	13429	836	1543
MODERATE	151	13429	1176	1098
MODERATE	152	13429	818	1694
MODERATE	153	13429	816	1727
MODERATE	154	13429	821	1573
MODERATE	155	13429	922	1549
MODERATE	156	13429	887	1606
MODERATE	157	13429	868	1544
MODERATE	158	13429	937	1482
MODERATE	159	13429	1146	1143
MODERATE	160	13429	850	1579
MODERATE	161	13429	812	1653
MODERATE	162	13429	990	912
MODERATE	163	13429	880	1629
MODERATE	164	13429	1012	1373
MODERATE	165	13429	1042	1199
MODERATE	166	13429	864	1704
MODERATE	167	13429	791	1710
MODERATE	168	13429	925	1468
MODERATE	169	13429	1043	1297
MODERATE	170	13429	793	1711
MODERATE	171	13429	1098	1136
MODERATE	172	13429	907	1584
MODERATE	173	13429	922	1474
MODERATE	174	13429	1098	1110
MODERATE	175	13429	989	1381
MODERATE	176	13429	1186	1039
MODERATE	177	13429	955	1335
MODERATE	178	13429	979	1344
MODERATE	179	13429	902	1573
MODERATE	180	13429	921	1516
MODERATE	181	13429	1142	1031
MODERATE	182	13429	880	1517
MODERATE	183	13429	876	1528
MODERATE	184	13429	832	1595
MODERATE	185	13429	858	1617
MODERATE	186	13429	865	1463
MODERATE	187	13429	1110	1146
MODERATE	188	13429	998	1465
MODERATE	189	13429	1002	1227
MODERATE	190	13428	981	1331
MODERATE	191	13429	990	1431
MODERATE	192	13429	856	1685
MODERATE	193	13429	1066	1272
MODERATE	194	13429	939	1551
MODERATE	195	13429	874	1654
MODERATE	196	13429	979	1462
MODERATE	197	13429	1049	1264
MODERATE	198	13429	940	1474
MODERATE	199	13429	881	1615
MODERATE	200	13429	1105	1130
MODERATE	201	13429	837	1549
MODERATE	202	13429	976	1296
MODERATE	203	13429	890	1624
MODERATE	204	13429	1134	1128
MODERATE	205	13429	1059	1229
MODERATE	206	13429	822	1742
MODERATE	207	13429	868	1647
MODERATE	208	13429	865	1591
MODERATE	209	13429	996	1342
MODERATE	210	13429	942	1544
MODERATE	211	13429	1038	1321
MODERATE	212	13429	956	1495
MODERATE	213	13429	885	1515
MODERATE	214	13429	862	1698
MODERATE	215	13429	840	1674
MODERATE	216	13429	931	1431
MODERATE	217	13429	1021	1255
MODERATE	218	13429	1018	1415
MODERATE	219	13429	860	1598
MODERATE	220	13429	966	1278
MODERATE	221	13429	1127	1111
MODERATE	222	13429	1141	1004
MODERATE	223	13429	795	1653
MODERATE	224	13429	1000	1446
MODERATE	225	13429	1195	1090
MODERATE	226	13429	975	1477
LOW	5	15311	1496	2452
LOW	6	15311	1745	2042
LOW	7	15311	1428	2429
LOW	8	15311	1641	1941
LOW	9	15311	1923	1727
LOW	10	15311	1762	2048
LOW	11	15311	1565	2305
LOW	12	15311	1450	2652
LOW	13	15311	1349	2613
LOW	14	15311	1639	2141
LOW	15	15311	1743	1939
LOW	16	15311	1368	2625
LOW	17	15311	1721	2122
LOW	18	15311	1555	2107
LOW	19	15311	1435	2591
LOW	20	15311	1628	2153
LOW	21	15311	1623	2231
LOW	22	15311	1342	2598
LOW	23	15311	2041	1477
LOW	24	15311	1396	2468
LOW	25	15311	1296	2735
LOW	26	15311	1470	2554
LOW	27	15311	1511	2376
LOW	28	15311	1590	2299
LOW	29	15311	1645	2164
LOW	30	15311	1688	2061
LOW	31	15311	1741	1960
